NAME_LATIN,Year,age
K. GAIOY_1,2019.0,62.0
K. GALATAKIOY,2018.0,36.0
K. GALATA_3,2018.0,52.0
K. GALATINHS,2019.0,61.0
K. GALATISTHS,2019.0,55.0
K. GALHNHS (ANV PLATYKAMPOY),2019.0,61.0
K. GAZIOY,2018.0,46.0
K. GERAKA,2019.0,61.0
K. GERAKAROYS,2019.0,38.0
K. GERAKIOY_2,2019.0,61.0
K. GERANIOY_1,2018.0,56.0
K. GEVRGIOYPOLEVS,2019.0,43.0
K. GIANNOYLHS,2019.0,61.0
K. GLYFAS,2019.0,61.0
K. GLYKOBRYSHS,2019.0,44.0
K. GLYKVN NERVN,2019.0,50.0
K. GRAMMATIKOYS,2018.0,60.0
K. GRAMMATIKOY_1,2019.0,49.0
K. GRAMMOYSHS (AMPELOXVRIOY),2018.0,60.0
K. HRAKLEIAS (NHSOS)_1,2019.0,61.0
K. IOY (NHSOS)_2,2018.0,38.0
K. IOYLIDOS (KEAS),2019.0,30.0
K. JHROKAMPIOY,2018.0,-1.0
K. JYLIKVN,2019.0,46.0
K. KABYLHS,2019.0,0.0
K. KALAMOY,2019.0,33.0
K. KALAMOY (NHSOS)_1,2019.0,61.0
K. KALAMPAKIOY,2019.0,31.0
K. KALENTZIOY_2,2019.0,44.0
K. KALIPADOY,2019.0,57.0
K. KALLIPOLEVS,2018.0,25.0
K. KALLIUEAS_19,2019.0,61.0
K. KALLIUEAS_24,2019.0,54.0
K. KALOY NEROY,2019.0,30.0
K. KALYBIVN UORIKOY_1,2019.0,42.0
K. KALYBVN,2018.0,58.0
K. KAMARVN_1,2019.0,45.0
K. KAMHLARIOY,2019.0,40.0
K. KANALIOY_2,2019.0,61.0
K. KAPANDRITIOY,2019.0,40.0
K. KAPARELLIOY_1,2019.0,9.0
K. KARDAMAINHS,2019.0,44.0
K. KARIANHS,2019.0,38.0
K. KARITAINHS,2019.0,45.0
K. KARYAS_9,2019.0,61.0
K. KARYVTISSHS,2019.0,46.0
K. KASTOY (NHSOS)_2,2019.0,61.0
K. KASTRAKIOY_5,2019.0,53.0
K. KASTROY_2,2018.0,37.0
K. KATSAROY_1,2019.0,61.0
K. KATSIKA,2019.0,45.0
K. KATV BASILIKVN,2019.0,61.0
K. KATV LEXVNIVN,2019.0,52.0
K. KATV TIUOREAS,2019.0,48.0
K. KATV TRITOYS,2018.0,42.0
K. KATV XVRAS,2019.0,61.0
K. KAUENVN,2019.0,58.0
K. KEFALOXVRIOY_3,2019.0,34.0
K. KERAMIDIOY_1,2019.0,19.0
K. KERAMIOY,2019.0,45.0
K. KERAMVTHS_1,2019.0,47.0
K. KERASIVN,2018.0,50.0
K. KILELER (KYCELHS),2019.0,61.0
K. KIMVLOY (EDRA THS OMVNYMOY NHSOY)_2,2018.0,54.0
K. KOILIVMENOY (AGIOY NIKOLAOY)_1,2019.0,53.0
K. KOKKINOY_1,2019.0,57.0
K. KOKKVNIOY,2018.0,40.0
K. KOLYMBARIOY,2019.0,59.0
K. KONOPINAS,2018.0,6.0
K. KONTIA_1,2019.0,60.0
K. KOPANAKIOY,2019.0,48.0
K. KORINOY,2018.0,57.0
K. KORVNEIAS,2019.0,61.0
K. KORVNHS_1,2019.0,30.0
K. KOSMA,2019.0,36.0
K. KOYBARA,2019.0,53.0
K. KOYFONHSIVN (NHSIA)_2,2018.0,60.0
K. KOYNABVN,2018.0,46.0
K. KOYNOYPIDIANVN,2019.0,54.0
K. KOYTSOPODIOY,2019.0,55.0
K. KROKEVN,2018.0,60.0
K. KRYAS,2019.0,58.0
K. KRYFOBOY,2019.0,61.0
K. KRYONERIOY_1,2019.0,54.0
K. KRYONERIOY_13,2018.0,60.0
K. KYPARISSIOY_4,2019.0,60.0
K. KYPRINOY_2,2018.0,49.0
K. KYUNOY (NHSOS)_1,2019.0,33.0
K. LAKKOPETRAS,2019.0,43.0
K. LALA,2018.0,34.0
K. LAXANA,2019.0,48.0
K. LAYKAS,2019.0,41.0
K. LAYKOY_1,2019.0,47.0
K. LEIANOKLADIOY,2019.0,56.0
K. LEONTIOY_1,2019.0,18.0
K. LEPTOKARYAS_2,2019.0,43.0
K. LEYKVNOS_2,2019.0,33.0
K. LIBADIVN (NHSOS THLOS)_2,2019.0,61.0
K. LIBADIVN_1,2019.0,61.0
K. LILAIAS,2019.0,61.0
K. LIMNOXVRIOY_1,2019.0,25.0
K. LIUAKIAS,2019.0,54.0
K. LIXADOS_9,2019.0,61.0
K. LOGGOY_1,2019.0,43.0
K. LOYKISIVN_2,2019.0,59.0
K. LOYTSHS,2019.0,55.0
K. LYGOYRIOY (ASKLHPEIIOY),2019.0,59.0
K. LYKOBRYSEVS,2019.0,52.0
K. MADENHS,2018.0,39.0
K. MAGOYLAS_1,2019.0,50.0
K. MAKRINITSHS_1,2019.0,53.0
K. MAKROLIBADOY,2018.0,50.0
K. MAKROXVRIOY_1,2019.0,37.0
K. MAKRYXVRIOY_4,2019.0,28.0
K. MALAKASHS,2019.0,31.0
K. MALESINHS,2019.0,52.0
K. MANAGOYLHS,2019.0,42.0
K. MANTAMADOY_1,2018.0,52.0
K. MARGARITIOY,2019.0,43.0
K. MARIOLATAS,2019.0,41.0
K. MARKOPOYLOY VRVPOY,2019.0,43.0
K. MARMARIOY_1,2019.0,55.0
K. MEGALOY KEFALOBRYSOY,2019.0,61.0
